comparison,outcome,outcome_label,variable,variable_label,variable_type,raw_gap,endowment_contribution,endowment_ci_lower,endowment_ci_upper,pct_of_gap,mean_white,mean_minority,n_white,n_minority,total_pct_explained,level
Black_vs_White,casthma,Asthma,pct_65plus,pct_65plus,demographic,1.9543,0.006,-0.0009,0.0127,0.31,19.0889,15.0582,38240,5436,69.35,ecological
Black_vs_White,casthma,Asthma,median_age,median_age,demographic,1.9543,0.0464,0.0371,0.0568,2.37,41.9359,37.1617,38240,5436,69.35,ecological
Black_vs_White,obesity,Obesity,loneliness,Loneliness/Social isolation,hrsn,9.8702,-0.7854,-0.9064,-0.6682,-7.96,32.3089,39.5464,38240,5436,63.04,ecological
Black_vs_White,obesity,Obesity,foodstamp,Food stamps/SNAP,hrsn,9.8702,-0.3573,-0.6736,-0.0086,-3.62,10.5907,32.6523,38240,5436,63.04,ecological
Black_vs_White,obesity,Obesity,foodinsecu,Food insecurity,hrsn,9.8702,18.5059,17.6804,19.3038,187.49,12.9185,34.3278,38240,5436,63.04,ecological
Black_vs_White,obesity,Obesity,housinsecu,Housing insecurity,hrsn,9.8702,-17.4337,-18.1751,-16.7614,-176.63,10.4715,26.6811,38240,5436,63.04,ecological
Black_vs_White,obesity,Obesity,shututility,Utility shutoff threat,hrsn,9.8702,18.4314,17.9271,19.02,186.74,6.995,19.7644,38240,5436,63.04,ecological
Black_vs_White,obesity,Obesity,lacktrpt,Transportation barriers,hrsn,9.8702,-12.0542,-12.8213,-11.2826,-122.13,7.3207,17.3111,38240,5436,63.04,ecological
Black_vs_White,obesity,Obesity,emotionspt,Lack of social support,hrsn,9.8702,-4.0173,-4.2154,-3.8204,-40.7,22.1557,31.8644,38240,5436,63.04,ecological
Black_vs_White,obesity,Obesity,pct_poverty,pct_poverty,demographic,9.8702,0.1225,0.0237,0.2416,1.24,10.689,25.4076,38240,5436,63.04,ecological
Black_vs_White,obesity,Obesity,pct_college,pct_college,demographic,9.8702,3.3058,3.2185,3.3919,33.49,36.3351,20.7713,38240,5436,63.04,ecological
Black_vs_White,obesity,Obesity,pct_65plus,pct_65plus,demographic,9.8702,0.3491,0.3141,0.38,3.54,19.0889,15.0582,38240,5436,63.04,ecological
Black_vs_White,obesity,Obesity,median_age,median_age,demographic,9.8702,0.1549,0.1163,0.2017,1.57,41.9359,37.1617,38240,5436,63.04,ecological
Black_vs_White,chd,Coronary heart disease,loneliness,Loneliness/Social isolation,hrsn,0.8446,-0.3613,-0.3902,-0.3312,-42.78,32.3089,39.5464,38240,5436,112.06,ecological
Black_vs_White,chd,Coronary heart disease,foodstamp,Food stamps/SNAP,hrsn,0.8446,1.885,1.7912,1.9786,223.18,10.5907,32.6523,38240,5436,112.06,ecological
Black_vs_White,chd,Coronary heart disease,foodinsecu,Food insecurity,hrsn,0.8446,8.3439,8.1162,8.5859,987.9,12.9185,34.3278,38240,5436,112.06,ecological
Black_vs_White,chd,Coronary heart disease,housinsecu,Housing insecurity,hrsn,0.8446,-7.854,-8.0642,-7.6322,-929.9,10.4715,26.6811,38240,5436,112.06,ecological
Black_vs_White,chd,Coronary heart disease,shututility,Utility shutoff threat,hrsn,0.8446,3.2092,3.0601,3.3623,379.97,6.995,19.7644,38240,5436,112.06,ecological
Black_vs_White,chd,Coronary heart disease,lacktrpt,Transportation barriers,hrsn,0.8446,-4.4207,-4.6671,-4.1618,-523.41,7.3207,17.3111,38240,5436,112.06,ecological
Black_vs_White,chd,Coronary heart disease,emotionspt,Lack of social support,hrsn,0.8446,-0.255,-0.3004,-0.209,-30.19,22.1557,31.8644,38240,5436,112.06,ecological
Black_vs_White,chd,Coronary heart disease,pct_poverty,pct_poverty,demographic,0.8446,0.21,0.1781,0.2404,24.86,10.689,25.4076,38240,5436,112.06,ecological
Black_vs_White,chd,Coronary heart disease,pct_college,pct_college,demographic,0.8446,0.6615,0.6436,0.6781,78.32,36.3351,20.7713,38240,5436,112.06,ecological
Black_vs_White,chd,Coronary heart disease,pct_65plus,pct_65plus,demographic,0.8446,-0.3374,-0.3552,-0.3209,-39.95,19.0889,15.0582,38240,5436,112.06,ecological
Black_vs_White,chd,Coronary heart disease,median_age,median_age,demographic,0.8446,-0.1347,-0.1477,-0.1218,-15.95,41.9359,37.1617,38240,5436,112.06,ecological
Black_vs_White,copd,COPD,loneliness,Loneliness/Social isolation,hrsn,2.1606,0.0441,0.0112,0.0807,2.04,32.3089,39.5464,38240,5436,147.85,ecological
Black_vs_White,copd,COPD,foodstamp,Food stamps/SNAP,hrsn,2.1606,2.7078,2.586,2.8252,125.33,10.5907,32.6523,38240,5436,147.85,ecological
Black_vs_White,copd,COPD,foodinsecu,Food insecurity,hrsn,2.1606,10.4083,10.1087,10.7303,481.74,12.9185,34.3278,38240,5436,147.85,ecological
Black_vs_White,copd,COPD,housinsecu,Housing insecurity,hrsn,2.1606,-12.0482,-12.3195,-11.746,-557.63,10.4715,26.6811,38240,5436,147.85,ecological
