comparison,outcome,outcome_label,variable,variable_label,variable_type,raw_gap,endowment_contribution,endowment_ci_lower,endowment_ci_upper,pct_of_gap,mean_white,mean_minority,n_white,n_minority,total_pct_explained,level
Black_vs_White,copd,COPD,social_isolation,Social Isolation (Factor 2),factor,2.1606,-2.0323,-2.0895,-1.9712,-94.06,-0.5043,1.2598,38240,5436,176.83,ecological
Black_vs_White,copd,COPD,pct_poverty,pct_poverty,demographic,2.1606,0.664,0.6113,0.719,30.73,10.689,25.4076,38240,5436,176.83,ecological
Black_vs_White,copd,COPD,pct_college,pct_college,demographic,2.1606,1.0644,1.0385,1.0896,49.27,36.3351,20.7713,38240,5436,176.83,ecological
Black_vs_White,copd,COPD,pct_65plus,pct_65plus,demographic,2.1606,-0.2377,-0.2545,-0.2219,-11.0,19.0889,15.0582,38240,5436,176.83,ecological
Black_vs_White,copd,COPD,median_age,median_age,demographic,2.1606,-0.2348,-0.2524,-0.2176,-10.87,41.9359,37.1617,38240,5436,176.83,ecological
Black_vs_White,stroke,Stroke,material_hardship,Material Hardship (Factor 1),factor,2.067,2.2,2.1398,2.2659,106.44,-0.4259,1.5963,38240,5436,75.32,ecological
Black_vs_White,stroke,Stroke,social_isolation,Social Isolation (Factor 2),factor,2.067,-0.7308,-0.7545,-0.7062,-35.35,-0.5043,1.2598,38240,5436,75.32,ecological
Black_vs_White,stroke,Stroke,pct_poverty,pct_poverty,demographic,2.067,0.0861,0.0629,0.1112,4.17,10.689,25.4076,38240,5436,75.32,ecological
Black_vs_White,stroke,Stroke,pct_college,pct_college,demographic,2.067,0.3099,0.3012,0.3186,14.99,36.3351,20.7713,38240,5436,75.32,ecological
Black_vs_White,stroke,Stroke,pct_65plus,pct_65plus,demographic,2.067,-0.1905,-0.2008,-0.1809,-9.22,19.0889,15.0582,38240,5436,75.32,ecological
Black_vs_White,stroke,Stroke,median_age,median_age,demographic,2.067,-0.1178,-0.1262,-0.1099,-5.7,41.9359,37.1617,38240,5436,75.32,ecological
Hispanic_vs_White,diabetes,Diabetes,material_hardship,Material Hardship (Factor 1),factor,2.6208,4.6313,4.4935,4.7588,176.71,-0.4259,1.1246,38240,5201,108.37,ecological
Hispanic_vs_White,diabetes,Diabetes,social_isolation,Social Isolation (Factor 2),factor,2.6208,-1.6996,-1.7603,-1.6352,-64.85,-0.5043,1.2502,38240,5201,108.37,ecological
Hispanic_vs_White,diabetes,Diabetes,pct_poverty,pct_poverty,demographic,2.6208,0.0318,-0.0093,0.0758,1.21,10.689,19.1501,38240,5201,108.37,ecological
Hispanic_vs_White,diabetes,Diabetes,pct_college,pct_college,demographic,2.6208,1.2991,1.2683,1.327,49.57,36.3351,16.2687,38240,5201,108.37,ecological
Hispanic_vs_White,diabetes,Diabetes,pct_65plus,pct_65plus,demographic,2.6208,-0.6198,-0.6503,-0.5918,-23.65,19.0889,11.2889,38240,5201,108.37,ecological
Hispanic_vs_White,diabetes,Diabetes,median_age,median_age,demographic,2.6208,-0.8026,-0.837,-0.7659,-30.62,41.9359,33.7491,38240,5201,108.37,ecological
Hispanic_vs_White,depression,Depression,material_hardship,Material Hardship (Factor 1),factor,-3.2075,0.2515,0.0609,0.4447,-7.84,-0.4259,1.1246,38240,5201,-83.4,ecological
Hispanic_vs_White,depression,Depression,social_isolation,Social Isolation (Factor 2),factor,-3.2075,-0.5501,-0.6585,-0.4122,17.15,-0.5043,1.2502,38240,5201,-83.4,ecological
Hispanic_vs_White,depression,Depression,pct_poverty,pct_poverty,demographic,-3.2075,0.9033,0.8358,0.9654,-28.16,10.689,19.1501,38240,5201,-83.4,ecological
Hispanic_vs_White,depression,Depression,pct_college,pct_college,demographic,-3.2075,1.0912,1.0465,1.132,-34.02,36.3351,16.2687,38240,5201,-83.4,ecological
Hispanic_vs_White,depression,Depression,pct_65plus,pct_65plus,demographic,-3.2075,0.3314,0.2757,0.3821,-10.33,19.0889,11.2889,38240,5201,-83.4,ecological
Hispanic_vs_White,depression,Depression,median_age,median_age,demographic,-3.2075,0.6479,0.5912,0.7148,-20.2,41.9359,33.7491,38240,5201,-83.4,ecological
Hispanic_vs_White,casthma,Asthma,material_hardship,Material Hardship (Factor 1),factor,-0.6035,1.0995,1.0406,1.1632,-182.19,-0.4259,1.1246,38240,5201,-203.58,ecological
Hispanic_vs_White,casthma,Asthma,social_isolation,Social Isolation (Factor 2),factor,-0.6035,-0.4304,-0.4634,-0.3945,71.32,-0.5043,1.2502,38240,5201,-203.58,ecological
Hispanic_vs_White,casthma,Asthma,pct_poverty,pct_poverty,demographic,-0.6035,0.149,0.1329,0.1639,-24.7,10.689,19.1501,38240,5201,-203.58,ecological
Hispanic_vs_White,casthma,Asthma,pct_college,pct_college,demographic,-0.6035,0.3499,0.3358,0.3622,-57.98,36.3351,16.2687,38240,5201,-203.58,ecological
Hispanic_vs_White,casthma,Asthma,pct_65plus,pct_65plus,demographic,-0.6035,0.0414,0.0271,0.0552,-6.86,19.0889,11.2889,38240,5201,-203.58,ecological
Hispanic_vs_White,casthma,Asthma,median_age,median_age,demographic,-0.6035,0.0192,0.0009,0.0382,-3.18,41.9359,33.7491,38240,5201,-203.58,ecological
Hispanic_vs_White,obesity,Obesity,material_hardship,Material Hardship (Factor 1),factor,1.1056,7.1879,6.9702,7.4028,650.12,-0.4259,1.1246,38240,5201,466.63,ecological
Hispanic_vs_White,obesity,Obesity,social_isolation,Social Isolation (Factor 2),factor,1.1056,-7.6342,-7.7743,-7.4825,-690.48,-0.5043,1.2502,38240,5201,466.63,ecological
Hispanic_vs_White,obesity,Obesity,pct_poverty,pct_poverty,demographic,1.1056,0.2958,0.2336,0.3578,26.75,10.689,19.1501,38240,5201,466.63,ecological
Hispanic_vs_White,obesity,Obesity,pct_college,pct_college,demographic,1.1056,4.4179,4.3325,4.4954,399.58,36.3351,16.2687,38240,5201,466.63,ecological
Hispanic_vs_White,obesity,Obesity,pct_65plus,pct_65plus,demographic,1.1056,0.6078,0.5475,0.6713,54.97,19.0889,11.2889,38240,5201,466.63,ecological
Hispanic_vs_White,obesity,Obesity,median_age,median_age,demographic,1.1056,0.284,0.2128,0.3583,25.69,41.9359,33.7491,38240,5201,466.63,ecological
Hispanic_vs_White,chd,Coronary heart disease,material_hardship,Material Hardship (Factor 1),factor,-0.7094,1.7285,1.6528,1.7916,-243.66,-0.4259,1.1246,38240,5201,-46.36,ecological
Hispanic_vs_White,chd,Coronary heart disease,social_isolation,Social Isolation (Factor 2),factor,-0.7094,-1.4459,-1.4802,-1.4068,203.83,-0.5043,1.2502,38240,5201,-46.36,ecological
Hispanic_vs_White,chd,Coronary heart disease,pct_poverty,pct_poverty,demographic,-0.7094,0.2354,0.212,0.261,-33.19,10.689,19.1501,38240,5201,-46.36,ecological
Hispanic_vs_White,chd,Coronary heart disease,pct_college,pct_college,demographic,-0.7094,0.9304,0.9125,0.9466,-131.16,36.3351,16.2687,38240,5201,-46.36,ecological
Hispanic_vs_White,chd,Coronary heart disease,pct_65plus,pct_65plus,demographic,-0.7094,-0.7458,-0.7675,-0.7252,105.14,19.0889,11.2889,38240,5201,-46.36,ecological
Hispanic_vs_White,chd,Coronary heart disease,median_age,median_age,demographic,-0.7094,-0.3737,-0.3943,-0.354,52.67,41.9359,33.7491,38240,5201,-46.36,ecological
Hispanic_vs_White,copd,COPD,material_hardship,Material Hardship (Factor 1),factor,-1.0217,2.7814,2.6696,2.8771,-272.25,-0.4259,1.1246,38240,5201,-207.73,ecological
Hispanic_vs_White,copd,COPD,social_isolation,Social Isolation (Factor 2),factor,-1.0217,-1.6923,-1.7414,-1.6418,165.65,-0.5043,1.2502,38240,5201,-207.73,ecological
Hispanic_vs_White,copd,COPD,pct_poverty,pct_poverty,demographic,-1.0217,0.4577,0.4242,0.492,-44.8,10.689,19.1501,38240,5201,-207.73,ecological
Hispanic_vs_White,copd,COPD,pct_college,pct_college,demographic,-1.0217,1.4271,1.3995,1.4517,-139.69,36.3351,16.2687,38240,5201,-207.73,ecological
Hispanic_vs_White,copd,COPD,pct_65plus,pct_65plus,demographic,-1.0217,-0.4198,-0.4437,-0.3987,41.09,19.0889,11.2889,38240,5201,-207.73,ecological
Hispanic_vs_White,copd,COPD,median_age,median_age,demographic,-1.0217,-0.4318,-0.4596,-0.4051,42.27,41.9359,33.7491,38240,5201,-207.73,ecological
Hispanic_vs_White,stroke,Stroke,material_hardship,Material Hardship (Factor 1),factor,0.088,1.2122,1.1714,1.25,1377.11,-0.4259,1.1246,38240,5201,742.62,ecological
Hispanic_vs_White,stroke,Stroke,social_isolation,Social Isolation (Factor 2),factor,0.088,-0.549,-0.5665,-0.5294,-623.67,-0.5043,1.2502,38240,5201,742.62,ecological
Hispanic_vs_White,stroke,Stroke,pct_poverty,pct_poverty,demographic,0.088,0.0896,0.0766,0.1034,101.79,10.689,19.1501,38240,5201,742.62,ecological
Hispanic_vs_White,stroke,Stroke,pct_college,pct_college,demographic,0.088,0.4406,0.431,0.4498,500.53,36.3351,16.2687,38240,5201,742.62,ecological
Hispanic_vs_White,stroke,Stroke,pct_65plus,pct_65plus,demographic,0.088,-0.3422,-0.3528,-0.3319,-388.8,19.0889,11.2889,38240,5201,742.62,ecological
Hispanic_vs_White,stroke,Stroke,median_age,median_age,demographic,0.088,-0.1975,-0.209,-0.1873,-224.35,41.9359,33.7491,38240,5201,742.62,ecological
