mmsa_code,mmsa_total_pop,mmsa_n_tracts,mmsa_loneliness,mmsa_foodstamp,mmsa_foodinsecu,mmsa_housinsecu,mmsa_shututility,mmsa_lacktrpt,mmsa_emotionspt
10220,38116,11,33.757466680659036,14.091570469094345,17.384541924651064,13.076692202749502,9.822308217021723,9.624449050267604,25.066557351243574
10300,99263,25,31.919932905513633,14.22554325378036,14.943643653727976,11.31428125283338,8.229817756868119,8.183743187290329,22.469307798474762
10420,700578,176,34.20710484771146,13.144823131756919,14.98318802474528,11.829268832307038,8.913163559232517,8.30148805700436,20.97806711030035
10460,66974,20,34.52455430465554,20.780095260847496,23.627007495445994,17.944797981306177,13.12634903096724,12.459233433869858,24.48289634783647
10500,147716,47,39.29045262530802,25.483423596631372,26.734554821414065,20.892402312545695,15.148418587018334,14.223964228654983,27.113815023423324
10580,900249,249,33.35235473741154,11.863822342485244,13.0395302855099,11.4337131171487,7.217504712585074,7.530054240549004,23.294316017013067
10620,62723,17,32.335722143392374,13.505669371681838,15.759427961035028,11.962414106468122,8.32359421583789,8.671595746376926,22.796203944326646
10660,30857,10,29.922643160385004,10.130933013578767,13.747191885147616,10.280723984833262,6.401331950610882,7.846057620637132,21.886320770003568
10700,97923,26,36.478080736905525,13.533005524749038,19.13662163128172,13.27072904220663,8.763707198513117,9.653835156194152,24.08653840262247
10740,913685,230,34.10366012356556,15.709562595424021,19.677505814367095,16.03019541745788,10.677860531802535,10.400671785133827,23.98528628575494
10760,41251,12,35.60518775302417,15.601347846112823,20.56901893287435,14.491886257302854,10.07841264454195,10.284257351336935,25.666073549732126
10780,151721,45,38.542822022000905,21.91588771495047,24.427623730399883,17.819145668694514,13.765742382399273,12.39940087397262,29.511154685244623
10820,39081,11,28.190668099588034,7.161352063662649,9.925250121542437,8.020567539213427,5.115695606560732,6.225912847675341,19.742734321025562
10900,109739,23,32.91378725885966,7.044326082796453,11.603440891569997,10.19496259306172,6.044145654689764,6.475790739846363,22.60170222072372
10940,37735,9,33.45530409434212,14.956128262885915,15.275449847621571,11.336228965151715,8.42882999867497,8.287430767192262,22.22815953358951
10980,28911,10,31.331437861021755,16.50410224482031,15.797125661512922,11.07975511051157,8.738303759814604,8.460316142644668,21.869911106499256
11060,24776,8,32.765567484662576,18.142694543106234,21.39947529867614,15.877030190506941,11.677022118178884,10.645160639328383,25.18778253148208
11140,33943,10,38.5307986919247,22.107480187372946,24.642400494947417,19.362001001679285,13.297970126388357,12.810093391862829,26.56365966473205
11180,120239,33,33.873603406548625,10.204532639160341,12.33451625512521,9.093216011443875,6.520974059997172,7.923137251640482,21.67014113557165
11200,153199,34,36.28124857211861,11.88595748014021,10.356025169877087,9.044958518005991,6.1192403344669355,7.377493978420224,22.645795338089677
11220,49624,16,33.72374858939223,16.612040544897628,18.20066097049815,14.606440432049009,8.98873327422215,9.280779461550862,24.717152990488472
11260,399335,84,33.66919678966281,10.061102332627993,13.687161906669841,12.376006610990771,8.248214406450725,8.856214206117668,25.004282870271823
11360,134718,28,33.83728158078357,14.548484241155597,17.400542614943806,14.091580189729658,9.55194999925771,9.611810596950667,23.90512700604225
11420,34507,9,32.273680702466166,6.9459124235662335,12.345784913206016,9.365178079809892,6.815646100791143,6.761448401773553,22.203578983974264
11460,368617,103,31.533286582007882,12.10558167420385,13.072769025845256,9.932276319323307,7.506039330795923,8.035910714915483,19.341637797497132
11500,116162,35,36.70877911881682,16.749263958953875,21.663419190440937,14.75069988464386,10.42397599903583,11.02096296551368,25.212544549852794
11540,242972,58,30.851502230709716,10.692190458159788,10.502520455031856,8.68880488286716,4.930640156067366,5.999912335577762,19.2072843784469
11620,48202,16,32.68408987178955,16.94651051823576,19.623036388531595,14.174308119995022,10.831594124725115,10.019073897348658,25.27093896518817
11660,21469,6,36.39648795938329,13.724705389165777,20.9091108109367,15.598262611206856,11.762727653826447,11.582910242675485,28.69932926545251
11680,34661,11,31.95000721271747,9.105830760797437,15.118704018926172,12.386696863910446,9.169458469172845,8.206748218458786,22.00096073396613
11700,407332,101,29.8883932516964,9.996574538705527,12.214231143146131,9.581861724588297,6.456245028625298,6.959714434417135,19.954823092710615
11740,52522,12,33.87124823883325,11.856323064620542,13.917038574311714,10.511524694413769,7.786163893225697,7.623727200030463,20.66663302996839
11860,16309,5,32.22539702005028,8.247409405849531,13.497032313446562,11.07890735176896,8.482334907106507,7.734686369489238,21.444037034766083
11900,61276,15,38.180462171159995,17.64588419609635,18.636053267184543,13.19310986356812,10.638475096285658,11.423459429466675,21.781485410274822
12020,216194,58,37.41441298093379,14.63547693275484,17.342034006494167,13.633694274586711,9.246021628722351,10.243707965993506,22.57431103545889
12060,6109290,1500,37.50612845355189,13.74466504291006,17.263496609262287,15.047380726729294,9.694928346829174,9.426384277060018,24.656855510214772
12100,369795,105,31.690013926635025,11.115880690652927,16.30152273556971,13.204802931353859,8.139484038453737,8.630816263064672,24.09126299706594
12140,43312,9,32.95823790173624,7.4884350757295906,12.96864379386775,10.026793960103436,7.3693041189508675,6.933355652013299,23.732499076468418
12180,76171,24,34.01030313373857,15.349836551968595,15.729899830644207,12.8420422470494,8.217549986215227,8.608490107783803,24.367425923251634
12220,194324,60,35.4248023918816,15.827546777546779,20.68847543278236,14.978397933348429,10.718774315061443,11.51110619377946,24.47506689858175
12260,612898,145,35.265011796416374,16.444269356401882,20.31025929273713,16.29462226993725,11.07252169202706,10.593113046542818,25.465330609660988
12300,124003,36,30.504292638081335,16.12030515390757,11.87641750602808,11.048431086344683,8.099962904123286,8.459343725555026,23.18263509753796
12380,40082,11,30.655531161119704,11.687625367995608,15.639701112718923,11.619682151589242,7.259493039269498,8.772234419440148,23.135978743575667
12460,29063,8,39.55409971441352,25.07078759935313,27.13490348553143,20.943109795960503,14.786374427966832,13.848336372707564,27.06640401885559
12540,892707,232,37.29018759794648,28.168862235873583,28.713276920646976,22.928789065169198,12.925327907140863,14.905188712533901,29.839643130388804
