stratum_var,stratum_label,stratum_value,stratum_name,hrsn_measure,hrsn_label,outcome,outcome_label,beta,se,pvalue,ci_lower,ci_upper,r_squared,n_obs
medicaid_expanded,Medicaid Expansion,1,Expanded,shututility,Utility shutoff threat,casthma,Asthma,0.676,0.0384,2.169133237338308e-69,0.6007,0.7512,0.6599,48798
medicaid_expanded,Medicaid Expansion,1,Expanded,shututility,Utility shutoff threat,obesity,Obesity,0.5785,0.045,7.730970822662816e-38,0.4903,0.6667,0.704,48798
medicaid_expanded,Medicaid Expansion,1,Expanded,shututility,Utility shutoff threat,chd,Coronary heart disease,0.541,0.0182,1.2313020351389092e-193,0.5052,0.5767,0.7935,48798
medicaid_expanded,Medicaid Expansion,1,Expanded,shututility,Utility shutoff threat,copd,COPD,0.7452,0.0169,0.0,0.712,0.7784,0.8514,48798
medicaid_expanded,Medicaid Expansion,1,Expanded,shututility,Utility shutoff threat,stroke,Stroke,0.6257,0.018,1.8234376697658147e-265,0.5905,0.6609,0.8417,48798
medicaid_expanded,Medicaid Expansion,1,Expanded,lacktrpt,Transportation barriers,diabetes,Diabetes,0.4998,0.0176,6.544386972219532e-177,0.4653,0.5343,0.7698,48798
medicaid_expanded,Medicaid Expansion,1,Expanded,lacktrpt,Transportation barriers,depression,Depression,0.254,0.0453,2.0257101414248275e-08,0.1652,0.3427,0.4232,48798
medicaid_expanded,Medicaid Expansion,1,Expanded,lacktrpt,Transportation barriers,casthma,Asthma,0.5615,0.0416,1.6515010418750578e-41,0.4799,0.643,0.6347,48798
medicaid_expanded,Medicaid Expansion,1,Expanded,lacktrpt,Transportation barriers,obesity,Obesity,0.2217,0.0315,1.9533553632998685e-12,0.1599,0.2834,0.6613,48798
medicaid_expanded,Medicaid Expansion,1,Expanded,lacktrpt,Transportation barriers,chd,Coronary heart disease,0.3574,0.0157,1.3745974431863514e-114,0.3266,0.3882,0.7664,48798
medicaid_expanded,Medicaid Expansion,1,Expanded,lacktrpt,Transportation barriers,copd,COPD,0.5309,0.0211,1.9782276746397915e-139,0.4895,0.5723,0.8054,48798
medicaid_expanded,Medicaid Expansion,1,Expanded,lacktrpt,Transportation barriers,stroke,Stroke,0.5297,0.0189,5.429254134861153e-173,0.4927,0.5667,0.8177,48798
medicaid_expanded,Medicaid Expansion,1,Expanded,emotionspt,Lack of social support,diabetes,Diabetes,0.0675,0.0292,0.020638212325129617,0.0103,0.1246,0.7367,48798
medicaid_expanded,Medicaid Expansion,1,Expanded,emotionspt,Lack of social support,depression,Depression,-0.4868,0.0823,3.3192098391765147e-09,-0.6481,-0.3255,0.4847,48798
medicaid_expanded,Medicaid Expansion,1,Expanded,emotionspt,Lack of social support,casthma,Asthma,-0.2902,0.0618,2.631082514275588e-06,-0.4113,-0.1691,0.6227,48798
medicaid_expanded,Medicaid Expansion,1,Expanded,emotionspt,Lack of social support,obesity,Obesity,-0.5199,0.0518,9.753087838651295e-24,-0.6213,-0.4184,0.7415,48798
medicaid_expanded,Medicaid Expansion,1,Expanded,emotionspt,Lack of social support,chd,Coronary heart disease,-0.1516,0.0182,8.217386427890886e-17,-0.1873,-0.1159,0.7575,48798
medicaid_expanded,Medicaid Expansion,1,Expanded,emotionspt,Lack of social support,copd,COPD,-0.1439,0.026,2.9145125079659466e-08,-0.1948,-0.0931,0.7762,48798
medicaid_expanded,Medicaid Expansion,1,Expanded,emotionspt,Lack of social support,stroke,Stroke,0.0073,0.0152,0.6292539645891096,-0.0224,0.0371,0.7788,48798
medicaid_expanded,Medicaid Expansion,0,Non-expanded,loneliness,Loneliness/Social isolation,diabetes,Diabetes,-0.1385,0.029,1.836913283845478e-06,-0.1955,-0.0816,0.7797,11358
medicaid_expanded,Medicaid Expansion,0,Non-expanded,loneliness,Loneliness/Social isolation,depression,Depression,-0.1977,0.0698,0.004629943350359939,-0.3346,-0.0609,0.4238,11358
medicaid_expanded,Medicaid Expansion,0,Non-expanded,loneliness,Loneliness/Social isolation,casthma,Asthma,-0.1437,0.0491,0.0034100404221274563,-0.2399,-0.0475,0.5526,11358
medicaid_expanded,Medicaid Expansion,0,Non-expanded,loneliness,Loneliness/Social isolation,obesity,Obesity,-0.2092,0.0483,1.4706945311557456e-05,-0.3039,-0.1146,0.7273,11358
