tract_fips,state_abbr,county_name,total_population,predicted_gain,loneliness,foodstamp,foodinsecu,housinsecu,shututility,lacktrpt,emotionspt,rank
22071001746,LA,Orleans,4921.0,7157.872261819182,45.7,54.9,52.9,38.5,33.0,26.9,39.8,149
22017022500,LA,Caddo,4471.0,7134.8452210915,42.9,58.7,56.8,39.7,34.1,27.9,39.2,150
36005036100,NY,Bronx,5672.0,7132.376595812135,41.7,49.5,52.5,39.9,23.8,23.5,35.0,151
09170140600,CT,South Central Connecticut,5313.0,7130.126245954085,40.6,47.7,48.1,38.2,29.0,24.8,34.8,152
06083002407,CA,Santa Barbara,4748.0,7093.814820963923,44.5,58.0,57.8,43.0,25.3,29.4,35.2,153
28049003300,MS,Hinds,5154.0,7086.068948763575,43.1,44.0,52.4,38.7,30.8,28.0,38.9,154
44007001400,RI,Providence,6405.0,7082.05024256181,44.2,43.5,48.6,37.5,22.4,22.0,33.1,155
24033805602,MD,Prince George's,6326.0,7073.217379362719,43.1,37.4,52.1,40.7,21.5,22.9,33.4,156
36005021502,NY,Bronx,6986.0,7068.436216101762,41.9,41.1,46.0,37.7,21.2,20.5,35.4,157
36005019500,NY,Bronx,7143.0,7068.158807178555,41.3,40.7,45.3,37.0,21.0,20.0,35.4,158
06019006501,CA,Fresno,5754.0,7066.942790362504,41.1,49.8,50.7,37.2,21.7,24.7,32.6,159
39061008502,OH,Hamilton,2503.0,7053.464106354848,48.4,83.3,75.3,56.8,53.4,46.2,34.0,160
04013106801,AZ,Maricopa,4706.0,7041.085164932945,38.8,55.7,54.8,36.4,27.0,29.2,33.5,161
55079000201,WI,Milwaukee,5953.0,7038.681957371623,39.8,53.8,44.2,31.8,22.9,22.7,30.9,162
36005002300,NY,Bronx,4528.0,7037.8950648223845,43.2,57.9,58.6,44.4,28.5,27.8,36.3,163
40109105600,OK,Oklahoma,4643.0,7035.6063246148,37.6,51.8,54.6,39.5,29.1,26.5,32.7,164
36005022102,NY,Bronx,6143.0,7020.538501115624,42.2,44.2,50.3,40.5,22.2,22.3,35.4,165
13021013101,GA,Bibb,5687.0,7015.521629647948,45.5,48.4,46.8,35.3,27.3,24.0,33.4,166
06019008301,CA,Fresno,5401.0,7005.839908748212,42.5,52.1,53.9,39.9,22.5,26.0,34.7,167
26081003800,MI,Kent,4729.0,7005.732576970814,40.4,52.9,54.9,39.7,27.9,27.4,33.6,168
06071004103,CA,San Bernardino,6751.0,7003.71311841591,41.3,46.8,46.8,34.3,19.1,22.7,34.3,169
13095010302,GA,Dougherty,5267.0,7000.003171973201,45.9,51.6,50.0,37.5,28.5,26.0,35.9,170
26163535800,MI,Wayne,4423.0,6988.626167351258,38.3,58.2,51.8,38.6,33.3,26.2,35.6,171
06047001503,CA,Merced,5314.0,6984.876450796875,42.7,54.0,53.0,38.6,23.3,26.1,34.3,172
51760070601,VA,Richmond,5916.0,6978.147999110776,43.7,45.7,48.2,36.2,23.8,23.7,32.3,173
06079010903,CA,San Luis Obispo,7151.0,6968.575723063125,48.7,47.6,42.7,24.6,17.5,28.6,29.7,174
36005007500,NY,Bronx,6670.0,6962.132195376235,41.7,42.2,45.8,37.3,21.9,20.8,34.8,175
36005012901,NY,Bronx,5469.0,6951.597374288016,43.0,49.0,51.5,41.7,25.3,23.9,36.7,176
36005013300,NY,Bronx,6038.0,6937.60101718278,42.9,46.2,49.3,39.4,23.3,22.4,36.3,177
04007940400,AZ,Gila,5871.0,6933.944827949891,40.7,42.7,48.5,32.7,25.9,28.1,40.1,178
51760020400,VA,Richmond,4539.0,6927.151509099877,45.6,57.6,51.7,39.2,31.8,28.1,34.7,179
36061023000,NY,New York,8803.0,6925.045962264567,44.7,38.9,38.4,30.7,19.8,19.0,35.9,180
34011020302,NJ,Cumberland,4092.0,6919.486560483959,41.3,52.6,61.1,46.6,30.5,30.7,33.9,181
06029006403,CA,Kern,5953.0,6912.782250966101,40.8,47.8,49.1,37.6,20.9,24.1,34.2,182
06029006202,CA,Kern,7943.0,6905.429459135272,41.2,38.8,42.4,33.7,17.3,20.7,34.1,183
36061018000,NY,New York,6970.0,6897.523103073257,44.1,43.7,45.1,34.1,20.8,21.4,34.4,184
22071001720,LA,Orleans,4107.0,6878.653668063285,46.6,60.4,57.7,42.2,36.6,30.0,41.0,185
35001000908,NM,Bernalillo,5015.0,6851.881353311361,40.1,48.9,49.9,36.3,27.3,25.4,31.2,186
36061001002,NY,New York,5989.0,6847.176956434622,44.5,50.5,52.2,35.5,21.9,23.8,36.5,187
25013801901,MA,Hampden,4071.0,6844.376875616717,44.1,66.7,56.6,43.6,31.9,30.2,38.2,188
09140350200,CT,Naugatuck Valley,3816.0,6834.881083609403,42.3,59.7,58.2,45.2,35.7,31.1,36.4,189
13297110400,GA,Walton,8251.0,6831.139785212694,40.3,36.9,36.3,26.0,19.2,18.4,27.3,190
17031530501,IL,Cook,5118.0,6823.976867575858,40.8,55.8,49.9,37.0,27.8,23.8,37.1,191
24510260202,MD,Baltimore,6158.0,6822.207064044354,44.4,46.7,43.5,34.9,25.6,21.3,34.4,192
06037239202,CA,Los Angeles,5645.0,6820.543316452079,47.6,54.0,53.9,41.4,21.3,26.1,38.8,193
13121007807,GA,Fulton,3916.0,6804.103926108671,44.3,62.0,57.3,41.5,34.2,30.8,34.2,194
06083002406,CA,Santa Barbara,4446.0,6800.733468987323,45.6,58.6,58.5,44.0,25.9,30.6,35.8,195
13121007808,GA,Fulton,3278.0,6789.437653049268,47.4,70.7,64.6,48.6,40.2,34.8,36.2,196
30035940200,MT,Glacier,5394.0,6788.188097107959,38.2,40.0,45.8,30.9,25.9,28.5,31.0,197
37081012706,NC,Guilford,4059.0,6777.265342354231,39.6,60.1,55.1,39.6,32.8,28.6,33.6,198
04013421902,AZ,Maricopa,6699.0,6772.1454836219,38.0,39.5,46.5,31.9,19.3,22.8,32.8,199
06019005403,CA,Fresno,5861.0,6768.795438228197,43.0,49.7,46.1,32.2,21.8,25.4,31.6,200
28075000700,MS,Lauderdale,3843.0,6767.740786823747,42.5,55.2,60.2,43.5,35.4,33.1,38.2,201
06071005502,CA,San Bernardino,5962.0,6765.048648535793,43.5,50.5,48.7,36.5,21.1,24.3,35.7,202
06029002001,CA,Kern,3707.0,6757.4219104726935,41.7,68.0,60.9,44.5,31.6,32.9,35.5,203
26163573600,MI,Wayne,6744.0,6738.822719433524,35.3,43.9,37.7,24.3,20.9,19.9,25.7,204
39049002900,OH,Franklin,3196.0,6736.50800099206,47.6,70.3,63.4,44.4,42.0,35.7,33.2,205
06031001702,CA,Kings,5548.0,6727.113393575657,42.8,50.2,51.6,38.4,21.2,25.1,34.1,206
06029004102,CA,Kern,4642.0,6723.880757887509,40.2,56.7,54.2,40.3,24.8,27.4,33.2,207
37063001501,NC,Durham,3304.0,6720.198552088086,48.9,66.0,62.1,40.8,36.1,42.9,31.3,208
06037243100,CA,Los Angeles,5552.0,6714.800038210841,47.5,55.0,52.9,40.4,21.9,25.9,38.8,209
25013800900,MA,Hampden,4279.0,6709.325869876186,41.2,64.8,55.1,39.8,28.6,27.9,35.4,210
02180000100,AK,Nome,6100.0,6684.157822788334,37.6,36.9,44.0,30.1,23.9,25.8,34.0,211
06019001304,CA,Fresno,5723.0,6676.284411792014,42.6,51.3,51.0,35.1,21.2,24.7,35.3,212
36005007300,NY,Bronx,4444.0,6664.712129152324,42.7,55.6,57.0,44.8,28.2,26.4,36.6,213
01073010302,AL,Jefferson,4340.0,6664.568033195572,44.9,55.3,55.5,37.8,32.0,27.4,33.7,214
