outcome,outcome_label,r2_svi_only,r2_hrsn_only,r2_combined,adj_r2_svi_only,adj_r2_hrsn_only,adj_r2_combined,delta_r2_hrsn_over_svi,delta_r2_svi_over_hrsn,delta_adj_r2_hrsn_over_svi,delta_adj_r2_svi_over_hrsn,n_predictors_svi,n_predictors_hrsn,n_predictors_combined,f_stat_hrsn_naive,p_value_hrsn_naive,f_stat_svi_naive,p_value_svi_naive,p_value_hrsn_wald,p_value_svi_wald,hrsn_significant,svi_significant,aic_svi,aic_hrsn,aic_combined,best_model_aic
diabetes,Diabetes,0.7647,0.8757,0.8792,0.7646,0.8757,0.8791,0.1145,0.0035,0.1145,0.0035,10,13,17,8139.14,1.1102230246251565e-16,433.72,1.1102230246251565e-16,4.388088587039536e-309,8.310600705377136e-25,True,True,83358.2,44986.8,43284.0,Combined
depression,Depression,0.4689,0.6214,0.6418,0.4688,0.6214,0.6417,0.1729,0.0203,0.1729,0.0203,10,13,17,4144.61,1.1102230246251565e-16,852.76,1.1102230246251565e-16,4.496974129151713e-106,2.883003454406296e-26,True,True,132559.8,112204.2,108893.4,Combined
casthma,Asthma,0.5739,0.7271,0.7318,0.5738,0.727,0.7317,0.158,0.0047,0.158,0.0047,10,13,17,5058.25,1.1102230246251565e-16,265.93,1.1102230246251565e-16,1.8147917635643787e-126,2.0704847729926181e-10,True,True,119323.8,92537.1,91490.4,Combined
obesity,Obesity,0.7231,0.8087,0.8144,0.7231,0.8086,0.8144,0.0913,0.0057,0.0913,0.0057,10,13,17,4224.43,1.1102230246251565e-16,464.95,1.1102230246251565e-16,3.130805452934405e-157,3.9218824199687354e-19,True,True,93355.8,71137.8,69313.6,Combined
chd,Coronary heart disease,0.7649,0.852,0.8598,0.7649,0.8519,0.8597,0.0949,0.0078,0.0949,0.0078,10,13,17,5810.75,1.1102230246251565e-16,836.55,1.1102230246251565e-16,2.5453834504013893e-266,2.0011163521019712e-38,True,True,83110.5,55298.8,52049.4,Combined
copd,COPD,0.788,0.8941,0.905,0.788,0.8941,0.905,0.117,0.0109,0.117,0.0109,10,13,17,10575.83,1.1102230246251565e-16,1726.75,1.1102230246251565e-16,0.0,4.0765481158563265e-68,True,True,77077.3,35357.9,28825.7,Combined
stroke,Stroke,0.7933,0.8867,0.891,0.7933,0.8867,0.8909,0.0976,0.0042,0.0976,0.0042,10,13,17,7689.02,1.1102230246251565e-16,585.07,1.1102230246251565e-16,0.0,1.9095836474894005e-48,True,True,75418.9,39273.5,36984.9,Combined
