hrsn_measure,disease,treatment_threshold_pct,hrsn_threshold_value,hrsn_target_value,n_tracts_treated,pop_treated,beta,mean_hrsn_reduction_pp,mean_disease_reduction_pp,est_associated_case_reduction,est_case_reduction_adjusted
shututility,copd,90,16.8,7.4,5955,18961476,0.3527,15.5,5.48,993508,496754
shututility,stroke,90,16.8,7.4,5955,18961476,0.1348,15.5,2.1,379847,189923
shututility,diabetes,75,11.2,7.4,14825,52498630,0.4166,9.9,4.14,2035336,1017668
shututility,depression,75,11.2,7.4,14825,52498630,0.2543,9.9,2.53,1242374,621187
shututility,casthma,75,11.2,7.4,14825,52498630,0.1671,9.9,1.66,816200,408100
shututility,obesity,75,11.2,7.4,14825,52498630,0.6851,9.9,6.82,3346865,1673432
shututility,chd,75,11.2,7.4,14825,52498630,0.1777,9.9,1.77,867977,433988
shututility,copd,75,11.2,7.4,14825,52498630,0.3527,9.9,3.51,1722891,861445
shututility,stroke,75,11.2,7.4,14825,52498630,0.1348,9.9,1.34,658712,329356
lacktrpt,diabetes,90,16.6,7.9,6015,20129976,0.3878,13.5,5.23,1024683,512341
lacktrpt,depression,90,16.6,7.9,6015,20129976,0.1835,13.5,2.47,484687,242343
lacktrpt,casthma,90,16.6,7.9,6015,20129976,0.1573,13.5,2.12,415651,207825
lacktrpt,obesity,90,16.6,7.9,6015,20129976,0.3555,13.5,4.79,939142,469571
lacktrpt,chd,90,16.6,7.9,6015,20129976,0.1418,13.5,1.91,374562,187281
lacktrpt,copd,90,16.6,7.9,6015,20129976,0.3024,13.5,4.08,798854,399427
lacktrpt,stroke,90,16.6,7.9,6015,20129976,0.1337,13.5,1.8,353235,176617
lacktrpt,diabetes,75,11.6,7.9,14783,53590797,0.3878,9.0,3.48,1786836,893418
lacktrpt,depression,75,11.6,7.9,14783,53590797,0.1835,9.0,1.65,845194,422597
lacktrpt,casthma,75,11.6,7.9,14783,53590797,0.1573,9.0,1.41,724810,362405
lacktrpt,obesity,75,11.6,7.9,14783,53590797,0.3555,9.0,3.19,1637670,818835
lacktrpt,chd,75,11.6,7.9,14783,53590797,0.1418,9.0,1.27,653160,326580
lacktrpt,copd,75,11.6,7.9,14783,53590797,0.3024,9.0,2.71,1393037,696518
lacktrpt,stroke,75,11.6,7.9,14783,53590797,0.1337,9.0,1.2,615969,307984
emotionspt,diabetes,90,32.5,24.0,5921,21595824,0.0527,11.1,0.59,125693,62846
