state_fips,state_abbr,hrsn_measure,outcome,beta,se,pvalue,r_squared,n_tracts,medicaid_expanded,hrsn_waiver
33,NH,shututility,copd,0.9631,0.1095,1.3780529791981515e-18,0.8342,347,1,0
34,NJ,shututility,copd,0.5062,0.0225,1.0427979260910501e-111,0.8551,2161,1,0
35,NM,shututility,copd,0.5372,0.0455,3.3651988057367117e-32,0.8086,597,1,0
36,NY,shututility,copd,0.6416,0.0257,5.0782726027727376e-138,0.8449,5234,1,0
37,NC,shututility,copd,0.8008,0.0511,2.6891159362598147e-55,0.852,2638,0,1
38,ND,shututility,copd,0.6787,0.0579,8.875804627538413e-32,0.8483,228,1,0
39,OH,shututility,copd,0.8406,0.0406,3.7273078667740676e-95,0.8645,3150,1,0
40,OK,shututility,copd,0.9075,0.0449,8.147486579105163e-91,0.862,1190,1,0
44,RI,shututility,copd,0.6938,0.0886,4.800844721352984e-15,0.7377,246,1,0
45,SC,shututility,copd,0.802,0.0464,7.977790034274213e-67,0.8435,1304,0,0
49,UT,shututility,copd,0.6755,0.0615,4.903049835297795e-28,0.7486,704,1,0
51,VA,shututility,copd,0.8524,0.0385,1.0821823713993503e-108,0.8805,2157,1,0
54,WV,shututility,copd,1.3125,0.0659,2.74310327234563e-88,0.841,545,1,0
55,WI,shututility,copd,0.7658,0.0332,5.500839839324622e-118,0.8524,1523,0,0
01,AL,shututility,casthma,0.4408,0.0241,6.036297966070596e-75,0.8677,1427,0,0
02,AK,shututility,casthma,1.0567,0.0934,1.1323281702362129e-29,0.7917,174,1,0
04,AZ,shututility,casthma,0.839,0.0622,1.9983894179571303e-41,0.7813,1731,1,1
05,AR,shututility,casthma,0.4777,0.0294,1.5037258355339185e-59,0.8393,819,1,1
06,CA,shututility,casthma,0.6187,0.022,9.145003176648523e-175,0.5118,9023,1,1
09,CT,shututility,casthma,0.5312,0.1093,1.1749195618543203e-06,0.6318,872,1,0
10,DE,shututility,casthma,0.2064,0.1643,0.20902313501312508,0.7093,256,1,0
11,DC,shututility,casthma,0.4765,0.0751,2.2599758812511724e-10,0.9339,205,1,0
13,GA,shututility,casthma,0.348,0.0354,9.199440590989066e-23,0.8601,2782,0,0
15,HI,shututility,casthma,1.6675,0.1877,6.372215806602249e-19,0.6837,417,1,0
