outcome,outcome_label,feature,feature_label,feature_type,mean_abs_shap,permutation_importance,rf_feature_importance,ols_beta_std,ols_abs_beta,rf_r2_train,rf_r2_test
obesity,Obesity,pct_black,pct_black,covariate,0.344003,0.024058,0.042557,,,0.911,0.8551
obesity,Obesity,pct_hispanic,pct_hispanic,covariate,0.796193,0.052546,0.073387,,,0.911,0.8551
obesity,Obesity,pct_poverty,pct_poverty,covariate,0.103217,0.004534,0.037312,,,0.911,0.8551
obesity,Obesity,pct_college,pct_college,covariate,2.178405,0.240266,0.226843,,,0.911,0.8551
obesity,Obesity,pct_65plus,pct_65plus,covariate,0.063568,0.00232,0.010699,,,0.911,0.8551
obesity,Obesity,median_age,median_age,covariate,0.090452,0.003919,0.011861,,,0.911,0.8551
chd,Coronary heart disease,loneliness,Loneliness/Social isolation,hrsn,0.225891,0.048999,0.044423,-0.2188,0.2188,0.9198,0.8655
chd,Coronary heart disease,foodstamp,Food stamps/SNAP,hrsn,0.28685,0.069075,0.065228,0.4127,0.4127,0.9198,0.8655
chd,Coronary heart disease,foodinsecu,Food insecurity,hrsn,0.145358,0.030277,0.035731,0.4652,0.4652,0.9198,0.8655
chd,Coronary heart disease,housinsecu,Housing insecurity,hrsn,0.089443,0.019902,0.027072,0.3197,0.3197,0.9198,0.8655
chd,Coronary heart disease,shututility,Utility shutoff threat,hrsn,0.196187,0.051209,0.062501,0.5116,0.5116,0.9198,0.8655
chd,Coronary heart disease,lacktrpt,Transportation barriers,hrsn,0.092337,0.01616,0.029733,0.3635,0.3635,0.9198,0.8655
chd,Coronary heart disease,emotionspt,Lack of social support,hrsn,0.159247,0.031465,0.027406,-0.1384,0.1384,0.9198,0.8655
chd,Coronary heart disease,pct_black,pct_black,covariate,0.072351,0.009949,0.017787,,,0.9198,0.8655
chd,Coronary heart disease,pct_hispanic,pct_hispanic,covariate,0.167306,0.035614,0.053685,,,0.9198,0.8655
chd,Coronary heart disease,pct_poverty,pct_poverty,covariate,0.230882,0.050986,0.082784,,,0.9198,0.8655
chd,Coronary heart disease,pct_college,pct_college,covariate,0.599005,0.243014,0.204385,,,0.9198,0.8655
chd,Coronary heart disease,pct_65plus,pct_65plus,covariate,0.579658,0.27937,0.228065,,,0.9198,0.8655
chd,Coronary heart disease,median_age,median_age,covariate,0.252217,0.084387,0.121199,,,0.9198,0.8655
copd,COPD,loneliness,Loneliness/Social isolation,hrsn,0.202257,0.032394,0.036265,-0.136,0.136,0.9523,0.9151
copd,COPD,foodstamp,Food stamps/SNAP,hrsn,0.378171,0.079752,0.088203,0.5427,0.5427,0.9523,0.9151
copd,COPD,foodinsecu,Food insecurity,hrsn,0.233485,0.03727,0.052858,0.6189,0.6189,0.9523,0.9151
copd,COPD,housinsecu,Housing insecurity,hrsn,0.104868,0.022148,0.029663,0.5291,0.5291,0.9523,0.9151
copd,COPD,shututility,Utility shutoff threat,hrsn,0.552806,0.163307,0.127902,0.7225,0.7225,0.9523,0.9151
copd,COPD,lacktrpt,Transportation barriers,hrsn,0.174053,0.030188,0.052975,0.5516,0.5516,0.9523,0.9151
copd,COPD,emotionspt,Lack of social support,hrsn,0.270858,0.050438,0.035062,-0.1113,0.1113,0.9523,0.9151
copd,COPD,pct_black,pct_black,covariate,0.132619,0.0207,0.02354,,,0.9523,0.9151
copd,COPD,pct_hispanic,pct_hispanic,covariate,0.332646,0.109211,0.095316,,,0.9523,0.9151
copd,COPD,pct_poverty,pct_poverty,covariate,0.25852,0.040904,0.096196,,,0.9523,0.9151
copd,COPD,pct_college,pct_college,covariate,0.796596,0.249575,0.237016,,,0.9523,0.9151
