component,eigenvalue,variance_explained,cumulative_variance
1,6.15392571624535,0.9341944353167086,0.9341944353167086
2,0.561408719382884,0.03767313903269647,0.9718675743494051
3,0.1680998914804969,0.011516222682773185,0.9833837970321783
4,0.0500819407258428,0.008743814782866805,0.992127611815045
5,0.03724716776199269,0.00417050915899104,0.9962981209740361
6,0.021647594376033096,0.0028603748963869436,0.999158495870423
7,0.007588970027400174,0.0008415041295768051,0.9999999999999999
