hrsn_measure,hrsn_label,outcome,outcome_label,beta_std,se_std,beta_unstd,se_unstd,ci_lower_unstd,ci_upper_unstd,pvalue,ci_lower,ci_upper,r_squared,adj_r_squared,n_obs,n_clusters,significant_05,significant_01,significant_001,pvalue_fdr,significant_fdr_05
housinsecu,Housing insecurity,stroke,Stroke,0.5357,0.0305,0.086594,0.004937,0.076918,0.09627,7.111201345997931e-69,0.4758,0.5956,0.8115,0.8114,60156,2294,True,True,True,2.0496992114935214e-68,True
shututility,Utility shutoff threat,diabetes,Diabetes,0.611,0.0244,0.416616,0.01664,0.384002,0.44923,2.4207487039840806e-138,0.5632,0.6588,0.8052,0.8052,60156,2294,True,True,True,1.1861668649521993e-137,True
shututility,Utility shutoff threat,depression,Depression,0.3701,0.0327,0.254303,0.022482,0.21024,0.298367,1.1507393365448641e-29,0.306,0.4343,0.4276,0.4275,60156,2294,True,True,True,2.2554490996279336e-29,True
shututility,Utility shutoff threat,casthma,Asthma,0.6944,0.0346,0.167069,0.008325,0.150752,0.183387,1.4208337409115921e-89,0.6266,0.7623,0.6214,0.6214,60156,2294,True,True,True,4.351303331541751e-89,True
shututility,Utility shutoff threat,obesity,Obesity,0.5253,0.0384,0.685074,0.050061,0.586957,0.783191,1.2496155435604266e-42,0.4501,0.6006,0.7122,0.7122,60156,2294,True,True,True,2.9157696016409955e-42,True
shututility,Utility shutoff threat,chd,Coronary heart disease,0.5116,0.0176,0.177667,0.006097,0.165717,0.189618,1.1571984726335436e-186,0.4772,0.546,0.7875,0.7874,60156,2294,True,True,True,7.087840644880455e-186,True
shututility,Utility shutoff threat,copd,COPD,0.7225,0.0144,0.352661,0.007018,0.338905,0.366416,0.0,0.6944,0.7507,0.8479,0.8479,60156,2294,True,True,True,0.0,True
shututility,Utility shutoff threat,stroke,Stroke,0.6169,0.0158,0.134833,0.003445,0.12808,0.141585,0.0,0.586,0.6478,0.8396,0.8396,60156,2294,True,True,True,0.0,True
lacktrpt,Transportation barriers,diabetes,Diabetes,0.5064,0.0157,0.387845,0.012012,0.364302,0.411388,1.0334883327652574e-228,0.4757,0.5372,0.7813,0.7812,60156,2294,True,True,True,1.0128185661099522e-227,True
lacktrpt,Transportation barriers,depression,Depression,0.2377,0.0386,0.183455,0.029763,0.125121,0.241789,7.09570050916188e-10,0.1621,0.3133,0.4139,0.4139,60156,2294,True,True,True,9.933980712826633e-10,True
lacktrpt,Transportation barriers,casthma,Asthma,0.5822,0.0379,0.157325,0.010252,0.137231,0.177419,3.8111890290410513e-53,0.5079,0.6566,0.5915,0.5915,60156,2294,True,True,True,9.828855917000607e-53,True
lacktrpt,Transportation barriers,obesity,Obesity,0.2427,0.027,0.355467,0.039578,0.277895,0.43304,2.6751480193340415e-19,0.1897,0.2956,0.6775,0.6775,60156,2294,True,True,True,4.520077687840277e-19,True
lacktrpt,Transportation barriers,chd,Coronary heart disease,0.3635,0.0137,0.141773,0.005343,0.131302,0.152244,3.6656221250763636e-155,0.3366,0.3903,0.7645,0.7644,60156,2294,True,True,True,1.9957276014304647e-154,True
lacktrpt,Transportation barriers,copd,COPD,0.5516,0.0185,0.302368,0.010156,0.282463,0.322273,8.715895903869317e-195,0.5153,0.5879,0.8073,0.8073,60156,2294,True,True,True,6.101127132708523e-194,True
lacktrpt,Transportation barriers,stroke,Stroke,0.5446,0.0163,0.1337,0.004011,0.125839,0.141561,1.2221762715102084e-243,0.5126,0.5767,0.8198,0.8198,60156,2294,True,True,True,1.4971659326000053e-242,True
emotionspt,Lack of social support,diabetes,Diabetes,0.0683,0.0256,0.052699,0.019738,0.014013,0.091385,0.007587306554804868,0.0182,0.1185,0.7494,0.7494,60156,2294,True,True,False,0.008646000492684618,True
emotionspt,Lack of social support,depression,Depression,-0.443,0.0748,-0.344209,0.058081,-0.458045,-0.230373,3.0963270699066946e-09,-0.5895,-0.2965,0.4663,0.4663,60156,2294,True,True,True,4.100541254741298e-09,True
emotionspt,Lack of social support,casthma,Asthma,-0.2185,0.0593,-0.059457,0.016132,-0.091076,-0.027838,0.00022823407961317595,-0.3347,-0.1023,0.562,0.562,60156,2294,True,True,True,0.00027958674752614056,True
emotionspt,Lack of social support,obesity,Obesity,-0.4796,0.0522,-0.707271,0.076936,-0.858064,-0.556479,3.822415645243498e-20,-0.5818,-0.3773,0.7399,0.7398,60156,2294,True,True,True,6.689227379176122e-20,True
emotionspt,Lack of social support,chd,Coronary heart disease,-0.1384,0.018,-0.054343,0.007078,-0.068216,-0.040469,1.625402625822163e-14,-0.1737,-0.103,0.7531,0.7531,60156,2294,True,True,True,2.4134766262207877e-14,True
emotionspt,Lack of social support,copd,COPD,-0.1113,0.0265,-0.061422,0.014645,-0.090125,-0.032719,2.7392422113091125e-05,-0.1633,-0.0593,0.7716,0.7716,60156,2294,True,True,True,3.4416120090806796e-05,True
emotionspt,Lack of social support,stroke,Stroke,0.0191,0.0151,0.004726,0.003722,-0.00257,0.012022,0.20423026884531148,-0.0104,0.0486,0.7814,0.7813,60156,2294,False,False,False,0.21754963420478832,False
